Sentence,Source
"INTRODUCTION
Crowdsourcing Methods in Addiction Science:
Emerging Research and Best Practices
Justin C. Strickland1, Michael Amlung2, 3, and Derek D. Reed2, 3
1Department of Psychiatry and Behavioral Sciences, Johns Hopkins University School of Medicine
2Department of Applied Behavioral Science, University of Kansas
3Cofrin Logan Center for Addiction Research and Treatment, Lawrence, Kansas, United States
Crowdsourcing platforms such as Amazon Mechanical Turk, Proli ﬁc, and Qualtrics Panels have become a
dominant form of sampling in recent years. Crowdsourcing enables researchers to effectively and
efﬁciently sample research participants with greater geographic variability, access to hard-to-reach
populations, and reduced costs. These methods have been increasingly used across varied areas of
psychological science and essential for research during the COVID-19 pandemic due to their facilitation
of remote research. Recent work documents methods for improving data quality, emerging crowdsourcing
platforms, and how crowdsourcing data ﬁt within broader research programs. Addiction scientists will bene ﬁt
from the adoption of best practice guidelines in crowdsourcing as well as developing novel approaches,
venues, and applications to advance the ﬁeld.
Public Health Signi ﬁcance
The following set of articles in this special issue describes best practice methods and novel applications
of crowdsourcing in addiction and psychological science. These articles advance the ﬁeld and present
practical guidelines and open-source resources for researchers using crowdsourcing in future work.
Keywords: crowdsourcing, methods, mTurk, Proli ﬁc, validity
With the changing landscape of work amidst the global COVID-19
pandemic and increasing costs associated with collecting data from
large participant samples, researchers are turning to alternative meth-
ods for recruiting participants and collecting data. Accordingly,
crowdsourcing platforms such as Amazon Mechanical Turk, Proli ﬁc,
and Qualtrics Panels have become a dominant form of sampling
in recent years ( Strickland & Stoops, 2019 ). These crowdsourcing
platforms enable researchers to continue to collect data from large
samples of human participants when face-to-face visits are challeng-
ing, cost-prohibitive, or infeasible due to other barriers (e.g., research
sites at logistically prohibitive distances; social distancing require-
ments during COVID-19). Alongside optimism about the practical
beneﬁts that crowdsourcing may provide are uncertainties about the
validity of these approaches and how they can (and cannot) be used.
This special issue includes a collection of articles on best practices and
emerging research using crowdsourcing for addictions research.Articles included in this special issue emphasize that data quality
and control methods are critical in crowdsourcing platforms to
ensure data are reliable and valid. Jones et al. (2022) summarize
the importance of this work using a meta-analysis of careless
responding in crowdsourced alcohol use research and ﬁnd that
approximately 12% of participants are classi ﬁed as careless respon-
ders. They also provide practical recommendations to address these
issues to include the use of both overt and covert ﬁdelity measures.
Belliveau and Yakovenko (2022) complement these ﬁndings by
providing a practical implementation guide with step-by-step in-
structions for screening for speeding, straight-lining (i.e., tendency
to make the same response in a group of questions), inconsistent
responding, nonsensical responding, and missing data. Open-source
code for conducting these procedures is provided for those looking
to adopt these methods in their own work. Conceptually related
behavioral economic research shows the practical implications ofThis document is copyrighted by the American Psychological Association or one of its allied publishers.
Content may be shared at no cost, but any requests to reuse this content in part or whole must go through the American Psychological Association.
Justin C. Strickland
 https://orcid.org/0000-0003-1077-0394
Justin C. Strickland ’s contribution was partially supported by National
Institute on Drug Abuse (NIDA; Grant R03DA054098). Michael Amlung ’s
contribution was partially supported by National Institute on Alcohol Abuse
and Alcoholism (NIAAA; Grant R01AA027255) and the Cofrin Logan Center
for Addiction Research and Treatment at the University of Kansas. The authors
have no ﬁnancial con ﬂicts of interest in regard to this editorial introduction.Justin C. Strickland played lead role in writing of original draft and equal
role in conceptualization. Michael Amlung played equal role in conceptuali-
zation and writing of review and editing. Derek D. Reed played equal role in
conceptualization and writing of review and editing.
Correspondence concerning this article should be addressed to Justin C.
Strickland, Department of Psychiatry and Behavioral Sciences, Johns
Hopkins University School of Medicine, 5510 Nathan Shock Drive,
Baltimore, MD 21224, United States. Email: jstric14@jhmi.eduExperimental and Clinical Psychopharmacology
© 2022 American Psychological Association 2022, Vol. 30, No. 4, 379 –380
ISSN: 1064-1297 https://doi.org/10.1037/pha0000582
379",ContentServer.asp.pdf
"these quality checks. Craft et al. (2022) ﬁnd that delay-discounting
data from participants failing systematicity checks did not differ from
randomly generated data highlighting the importance of screening
and removing data with a priori validity checks. Freitas-Lemos et al.
(2022) describe how a novel check based on instructional under-
standing differentiated participants on consistency of cigarette use
reporting, responding on a cigarette demand task, and the relationship
between use behavior and demand data.
As the methods to screen for quality data have improved, so have
the venues in which crowdsourcing has been applied. Historically,
Amazon Mechanical Turk was the primary crowdsourcing outlet for
psychological and addiction science research. Belliveau et al. (2022)
describe the use of the more recently developed Qualtrics Panels
resource to study behavioral addictions (video gaming and gaming
disorder). They ﬁnd that Qualtrics data offered a participant pool
similar in demographics to a community-recruited population sup-
porting feasibility and potential usefulness of the resource. Stanton
et al. (2022) show how another novel platform, Proli ﬁc, can facilitate
repeated measures data in two protocols: a 5-day daily diary protocol
and a test –retest protocol. They explain across these two independent
studies how Proli ﬁc-recruited participants provided valid data
consistent with theoretical expectations and afforded ef ﬁcient
collection of longitudinal outcomes. Beyond online platforms like
Amazon Mechanical Turk, Qualtrics Panels, and Proli ﬁc,Pennington
et al. (2022) describe how big team science may ef ﬁciently crowd-
source researchers with the goal of producing reproducible projects
conducted across varied institutions. A review of existing work using
big team, crowdsourced approaches (e.g., ManyLabs, Psychological
Science Accelerator) as well as a novel approach used by the study
team are described.
How crowdsourcing ﬁts within a broader research program is
ultimately varied and may include pilot projects, methods develop-
ment, intervention deployment, and more. Rzeszutek et al. (2022)
provide one example of how crowdsourcing may be used to evaluate
novel behavioral outcomes by studying cross-drug withdrawal
effects for cigarette and opioids. They use a behavioral economic
framework to show that opioid withdrawal may increase cigarette
valuation, thereby providing a pathway for future treatment devel-
opment work to build upon. Borodovsky (2022) integrates the above
work to describe differences between generalizability and represen-
tativeness. A clear and concise review of these concepts is provided
along with how such differences may inform the boundary condi-
tions under which internet-based research may (or may not) advance
the literature.
Given the rapid emergence and evolution of crowdsourcing
research platforms, it is safe to assume this is a method that is here to
stay. This special issue highlights best practices for using crowdsour-
cing in addiction science while also drawing attention to important
methodological and conceptual limitations. We hope that addictionscientists continue to adhere to these guidelines while pushing the
boundaries of possible work within crowdsourcing science.
References
Belliveau, J., Soucy, K. I., & Yakovenko, I. (2022). The validity of qualtrics
panel data for research on video gaming and gaming disorder. Experi-
mental and Clinical Psychopharmacology ,30(4), 424 –431. https://
doi.org/10.1037/pha0000575
Belliveau, J., & Yakovenko, I. (2022). Evaluating and improving the quality
of survey data from panel and crowd-sourced samples: A practical guide
for psychological research. Experimental and Clinical Psychopharmacol-
ogy,30(4), 400 –408. https://doi.org/10.1037/pha0000564
Borodovsky, J. T. (2022). Generalizability and representativeness: Consid-
erations for internet-based research on substance use behaviors. Experi-
mental and Clinical Psychopharmacology ,30(4), 466 –477. https://
doi.org/10.1037/pha0000581
Craft, W. H., Tegge, A. N., Freitas-Lemos, R., Tomlinson, D. C., & Bickel,
W. K. (2022). Are poor quality data just random responses?: A crowd-
sourced study of delay discounting in alcohol use disorder. Experimental
and Clinical Psychopharmacology ,30(4), 409 –414. https://doi.org/10
.1037/pha0000549
F r e i t a s - L e m o s ,R . ,T e g g e ,A .N . ,C r a f t ,W .H . ,T o m l i n s o n ,D .C . ,S t e i n ,J .S . ,&
Bickel, W. K. (2022). Understanding data quality: Instructional comprehen-
sion as a practical metric in crowdsourced investigations of behavioral
economic cigarette demand. Experimental and Clinical Psychopharmacol-
ogy,30(4), 415 –423. https://doi.org/10.1037/pha0000579
Jones, A., Earnest, J., Adam, M., Clarke, R., Yates, J., & Pennington, C. R.
(2022). Careless responding in crowdsourced alcohol research: A system-
atic review and meta-analysis of practices and prevalence. Experimental
and Clinical Psychopharmacology ,30(4), 381 –399. https://doi.org/10
.1037/pha0000546
Pennington, C. R., Jones, A. J., Tzavella, L., Chambers, C. D., & Button,
K. S. (2022). Beyond online participant crowdsourcing: The bene ﬁts
and opportunities of big team addiction science. Experimental and Clini-
cal Psychopharmacology ,30(4), 444 –451. https://doi.org/10.10
37/pha0000541
Rzeszutek, M. J., Gipson-Reichardt, C. D., Kaplan, B. A., & Koffarnus,
M. N. (2022). Using crowdsourcing to study the differential effects of
cross-drug withdrawal for cigarettes and opioids in a behavioral economic
demand framework. Experimental and Clinical Psychopharmacology ,
30(4), 452 –465. https://doi.org/10.1037/pha0000558
Stanton, K., Carpenter, R. W., Nance, M., Sturgeon, T., & Villalongo
Andino, M. (2022). A multisample demonstration of using the proli ﬁc
platform for repeated assessment and psychometric substance use research.
Experimental and Clinical Psychopharmacology ,30(4), 432 –443. https://
doi.org/10.1037/pha0000545
Strickland, J. C., & Stoops, W. W. (2019). The use of crowdsourcing in
addiction science research: Amazon Mechanical Turk. Experimental and
Clinical Psychopharmacology ,27(1), 1 –18.https://doi.org/10.1037/pha
0000235
Received May 10, 2022
Accepted May 10, 2022 ▪This document is copyrighted by the American Psychological Association or one of its allied publishers.
Content may be shared at no cost, but any requests to reuse this content in part or whole must go through the American Psychological Association.380 STRICKLAND, AMLUNG, AND REED",ContentServer.asp.pdf
"1 
 The Benefits, Barriers, and Risks of Big Team Science 
Authors: Patrick S. Forscher1,2, Eric-Jan Wagenmakers3, Nicholas A. Coles4,  
Miguel Alejandro Silan5,6, Natália Dutra7, Dana Basnight-Brown8, & Hans IJzerman2,9 
 
Affiliations : 
1Busara Center for Behavioral Economics 
2Université Grenoble Alpes 
3University of Amsterdam 
4Stanford University 
5Université Lumière Lyon 2 
6Annecy Behavioral Science Lab 
7Universidade Federal do Pará 
8United States International University-Africa 
9Institut Universitaire de France 
 
Notes: PSF and HIJ wrote the first draft; all authors provided critical comments and revisions. 
Conflict of Interest Statement : PSF, NAC, MAS, ND, DB, and HIJ are members of the 
Psychological Science Accelerator, a network of psychology research labs that conducts big 
team science projects.  
 
Abstract: Progress in psychology has been frustrated by challenges concerning replicability, 
generalizability, strategy selection, inferential reproducibility, and computational reproducibility. 
Although often discussed separately, these five challenges may share a common cause: 
insufficient investment of intellectual and non-intellectual resources into the typical psychology 
study. We suggest that the emerging emphasis on big team science  can help address these 
challenges by allowing researchers to pool their resources together to increase the amount 
available for a single study. However, the current incentives, infrastructure, and institutions in 
academic science have all developed under the assumption that science is conducted by solo 
Principal Investigators and their dependent trainees, an assumption that creates barriers to 
sustainable big team science. We also anticipate that big team science carries unique risks, such 
as the potential for big team science organizations to be co-opted by unaccountable leaders, 
become overly conservative, and make mistakes at a grand scale. Big team science organizations 
must also acquire personnel who are properly compensated and have clear roles, raising risks 
related to mismanagement and a lack of financial sustainability. If researchers can manage its 
unique barriers and risks, big team science has the potential to spur great progress in psychology 
and beyond. 
  ","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
"2 
 Despite decades of investment, progress in psychology has been slower than many 
scholars would like (Fanelli, 2010; Meehl, 1978; Newell, 1973). The lack of progress is 
empirically supported by the results of replication studies. Whether with the same population, 
setting, and materials (the replicability challenge ; Klein et al., 2014; Open Science 
Collaboration, 2015) or after a change to one or more of these features (the generalizability 
challenge ; Henrich et al., 2010; Tiokhin et al., 2019; Yarkoni, 2019), replicated results often 
differ meaningfully from original results. Meaningful differences also occur in other forms of 
replication, such as: when separate teams develop research strategies to address the same 
research question (the strategy selection challenge ; Landy et al., 2020) when separate teams 
develop analysis plans for the same dataset (the inferential reproducibility challenge ; Botvinik-
Nezer et al., 2019; Silberzahn et al., 2018), and even when separate teams write code to execute 
the same analysis (the computational reproducibility challenge ; Donoho et al., 2008; Hardwicke 
et al., 2018; Obels et al., 2019).  
These five challenges have complex proximal causes. Yet they may share a common 
ultimate cause: insufficient resource investment in the typical psychology study. Insofar as this 
premise is true, a particular method of collaboration, big team science , may help address this 
ultimate cause by efficiently scaling up the resources that can be invested in any given study. We 
define big team science  as a method involving a relatively large number of collaborators who 
may be dispersed across labs, institutions, disciplines, cultures, and continents. We contrast this 
system of science with small team science , which is usually organized around a single Principal 
Investigator and their dependent trainees. If the unique risks and challenges of big team science 
are properly understood and managed, this method of collaboration may have great potential to 
improve the efficiency and information value of psychological science. 
The challenges in psychology share a common cause 
Discussion of the slow progress in psychology has a long history. Scholars have argued 
persuasively that each of the five challenges facing psychology has a pernicious and potentially 
destructive influence on scientific progress (Donoho et al., 2008; Landy et al., 2020; Meehl, 
1978; Sears, 1986; Silberzahn et al., 2018). These scholars have also presented a dizzying array 
of remedies for these challenges, ranging from increasing study sample sizes (Button et al., 
2013), which ought to improve replicability, to implementing version control (Vuorre & Curley, 
2018), which ought to improve computational reproducibility. Although varied, these remedies 
share a common feature: they ask researchers to incur additional costs to improve a particular 
aspect of study rigor (Finkel et al., 2017; LeBel et al., 2017; see Table 1 for a list of proposed 
remedies and their attendant costs).  
Because the individual researcher incurs costs for each remedy, discussions of problems 
in psychology tend to assume that implementations of these remedies are zero-sum in the 
following sense. The scientific resources that are available to a given researcher, such as time, 
labor, and money, are limited. This means that, as long as a solution to improve, say, replicability 
does not also improve all the other aspects of study rigor, resources devoted to implementing that 
solution to replicability must necessarily take away resources that could be spent on solutions to 
other aspects of rigor. Replicability, generalizability, inferential reproducibility, strategy 
selection, and computational reproducibility thus become qualities that must be traded off each ","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
"3 
 other because devoting resources to improve one of these five qualities means sacrificing 
resources that could be invested in improving the others. 
Challenge  Suggested remedy  Costs of implementation  Who bears costs?  
Replicability  Increase sample size  Labor and money for extra recruitment  Researchers; 
participants  
Preregister analysis plans  Labor creating preregistration and making it 
accessible on a platform  Researchers;  
platform maintainers  
Improve documentation of 
materials Labor creating and archiving documentation 
materials Researchers;  
platform maintainers  
Generalizability  Use special platforms to recruit 
culturally different participants  Labor developing, maintaining, and learning to 
use new platforms; money using and 
maintaining the platforms  Researchers; 
platform maintainers  
Collaborate with colleagues from 
different settings & backgrounds  Labor developing relationships with new 
colleagues  Researchers  
Improve generality of materials  Labor and money developing and validating 
improved stimuli and measures  Researchers; 
participants  
Strategy selection  Examine many construct 
operationalizations  Labor and money examining different 
operationalizations  Researchers; 
participants  
Consensus design  Labor developing relationships with relevant 
experts; labor implementing consensus process  Researchers  
Inferential 
reproducibility  Machine-readable hypothesis tests  Labor learning and implementing machine-
readable systems; money developing and 
maintaining platforms  Researchers;  
platform maintainers  
Many analyst design  Labor making connections with relevant 
analysts Researchers  
Examine a multiverse of tests  Labor developing relationships with relevant 
experts; labor implementing multiverse analysis  Researchers  
Computational 
reproducibility  Share code and data  Labor to put code and data into a shareable 
form; money developing and maintaining 
sharing platforms  Researchers;  
platform maintainers  
Implement code checking  Labor and money implementing code checking  Researches; journals  
Improve documentation of 
codebases Labor making code readable and hygienic  Researchers  
Use capsules, version control, and 
markdown  Labor learning and implementing new 
workflows; money maintaining capsule and 
version control platforms  Researchers;  
platform maintainers  
 
Table 1. Five challenges in psychology and some proposed remedies for these challenges. The challenges all ask 
researchers to bear extra costs to improve some aspect of study rigor.   
 ","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
"4 
 We suggest that the views that prioritize one aspect of rigor over the others all share an 
important, mistaken assumption: the pool of resources available for investment in a given study 
is fixed. If the resources devoted to a single study are not fixed, these resources may be raised to 
a level that is high enough that no tradeoffs are necessary among the various types of research 
rigor. Instead, a researcher need merely select as many of the rigor-enhancing strategies from 
Table 1 as they like and invest the money, human resources, and skills required to deploy those 
strategies. 
Thus, although they are often discussed separately, all five of psychology’s major 
problems may share a common cause: under-investment of resources, whether those resources 
are money, person-hours, or specialized expertise, in psychology studies (see also Cuccolo et al., 
2021; Uhlmann et al., 2019). Instead of asking which aspects of study rigor ought to be 
prioritized, reframing psychology’s problems from this perspective allows us to ask a different 
question: how can we increase the resources invested in psychology studies and ascertain that the 
extra investment is used efficiently? 
Increasing resource investment through big team science organizations 
Increasing the per-study resource investment across an entire research ecosystem faces a 
collective action problem: as long as scientists are rewarded for publishing more studies, any 
single scientist who decides to invest more resources in fewer studies will be outcompeted by 
scientists who invest less resources in more studies (Smaldino & McElreath, 2016). Any attempt 
to increase the per-study resource investment of the entire ecosystem must adopt one of two 
solutions: (1) directly change the institutional incentives that prioritize quantity of publication 
and/or (2) devise new institutions, which we call big team science organizations , that allow blocs 
of scientists to increase the resource investments in concert. 
Direct change in the institutions of science is difficult because science itself has a 
decentralized structure – changing its reward structures requires buy-in from many independent 
actors. This limits the effectiveness of initiatives to directly change the incentives that prioritize 
quantity of publication. A similar problem afflicts the establishment of new organizations that 
coordinate the efforts of scientists to jointly invest in single projects. Fortunately, new 
information and communication technologies, such as the Google suite of collaboration tools, the 
Open Science Framework, Slack, and Zoom, have made the establishment of such organizations 
more feasible because they permit rapid, low-cost communication across far-flung countries and 
circumstances (Teasley & Wolinsky, 2001). Such communication lays the groundwork for new 
institutions that can change how scientific actors spend resources on their science (Spellman, 
2015). 
The function of an organization is to coordinate the activities of many actors 
simultaneously. An organization solves the collective action problem faced by individual actors 
by allowing multiple actors to pre-commit to a coordinated, simultaneous course of action. In the 
context of science, a big team science organization  allows many scientists to pre-commit to 
investing their limited scientific resources into one big project in exchange for an individual 
reward – usually, authorship on a publication, though other rewards are possible, such as money 
or networking opportunities. During the project itself, the organization coordinates the actions of ","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
"5 
 the scientists so that they do not work at cross-purposes. These functions allow the per-study 
investments from big team science projects to eclipse what is achievable in small team science. 
We believe that the primary and most definitional function of a big team science 
organization is to allow larger investments of material and intellectual resources in a given 
project. However, once established, big team science organizations have the potential to provide 
benefits to both individual scientists and the broader scientific ecosystem that are external to this 
primary function. As an example of one such positive externality , big team science organizations 
centralize many aspects of project administration in one organization rather than forcing 
individual labs to complete these functions on their own. This not only produces an efficiency for 
the scientific ecosystem, but also allows researchers at organizations without strong research 
infrastructure, such as instructors at teaching-focused universities (Wagge, Baciu, et al., 2019; 
Wagge, Brandt, et al., 2019) to do more research than would otherwise be possible. Big teams 
also allow individual researchers to specialize into roles that match their skills rather than 
occupying all roles simultaneously, producing an efficiency for the scientific ecosystem and 
giving the individual researcher the opportunity to develop a specialized skill and thereby 
command a higher salary. Researchers who join a big team science organization also gain access 
to an expansive community. For the individual researcher, this reduces intellectual isolation and 
opens the door to professional opportunities; for the scientific ecosystem, this can generate new 
collaborations that would not have been possible absent the expansive community. Finally, if big 
team science organizations become robust enough, they can become political actors of their own 
right within the broader scientific ecosystem. Thus, they can nudge the incentives and values of 
the entire scientific ecosystem by, for example, prioritizing the qualities of scientists to improve 
team productivity rather than individual productivity (Tiokhin et al., 2021). 
Thus, big team science organizations can invest more resources into individual projects 
than is possible in small teams. Big team science organizations also have the potential to provide 
a variety of benefits to individual researchers and the broader scientific ecosystem that are 
external to this primary function. Whether these benefits materialize depend on establishing the 
organizations in the first place and ensuring the organizations do not fall prey to some of the 
unique risks and challenges of this style of science. 
Big team science outside of psychology  
Some disciplines have already adopted a big team science model, so they can provide 
useful examples of how big team science organizations can arise. These examples can also 
illustrate whether big team science can address the limitation of under-resourced studies. In the 
1990s, behavioral genetics generally featured small studies examining the relationship between 
variation in a single candidate gene and a complex behavior or trait. In one prominent example, 
only 52 patients provided genetic material for an analysis of the relationship between the 5-
HTTLPR polymorphism and major depression (Heils et al., 1996), a finding that spurred 
enormous interest in the biological mechanisms through which these genes might cause 
depression (Dannlowski et al., 2008; Gotlib et al., 2008). Unfortunately, and similar to the 
current situation in psychology, these early results were contradicted by failed replication studies 
(Gillespie et al., 2005). As more and more replication studies contradicted the earlier optimistic 
ones, researchers in behavioral genetics realized that changes were in order (Rieckmann, 2009).  ","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
"6 
 The two decades that followed were a turning point for behavioral genetics because they 
gave rise to big team science in the form of large research consortia. Without pooling resources, 
researchers would have been unable to attain the scale of data necessary to advance our 
understanding of behavioral genetics. Before these consortia could attain such large-scale data, 
they needed to invest considerable research, time, and funds devising methodological workflows 
(Corvin et al., 2010), designing infrastructure to manage and harmonize datasets (Sullivan, 
2010), and developing processes that increased the accuracy of the measurement of genotypes 
and phenotypes (23andMe Research Team et al., 2018; Corvin et al., 2010). With these solutions 
in hand, the research consortia served as a conduit through which multiple labs pooled resources 
to achieve large, heterogeneous samples that would otherwise have been out of reach for any 
single lab working independently. The UK Biobank is a prominent example, hosting a repository 
for data from over 500,000 participants, a sample that dwarfs the sample of 52 used for the first 
5-HTTLPR study. The resulting findings have revolutionized our understanding of genes and 
behavior: we now know that, instead of single genetic variants exerting large influences, a large 
number of variants have small influences (23andMe Research Team et al., 2018). These impacts 
were subtle enough that they could not be observed and studied using the small, homogeneous 
samples typically employed in the early 1990s. Innovations in methods, workflows, and 
measurement allowed for a sea change in our understanding of the relationship between genes 
and behavior. 
Particle physics provides another, still larger-scale, example. The 1950s saw a growing 
recognition among particle physicists that further advances would require a scale of research and 
equipment that would strain the budgets of entire nations, let alone single laboratories (Krige, 
2004). For their part, Western governments saw cooperative large-scale investments in physics 
as a potential diplomatic tool; the projects served as a highly visible counterweight growing 
Soviet power, demonstrating the benefits that could accrue from an internationalist, democratic, 
and cooperative world order (Krige, 2004). These twin recognitions spurred the establishment of 
“mega-collaborations”: large, international collaborations spanning multiple countries. Such 
mega-collaborations could only realize their aims through both technical and social 
achievements to establish the infrastructure, documentation, and workflows necessary to 
coordinate the efforts of huge numbers of scientists (Bakker, 1955; Brumfiel, 2011; for a modern 
workflow, see Espinosa et al., 2020). One of the pre-eminent examples of these mega-
collaborations is the European Organization for Nuclear Research (CERN), which, together with 
Brookhaven National Laboratory, helped usher in a new era of particle physics: high-energy 
physics, in which large teams of scientists harness vast resources to probe the most fundamental 
constituents of matter (Bryant, 1994). 
 
 
 
 
 ","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
"7 
  
Name Type Description  
Reproducibility Project: Psychology  
(Open Science Collaboration, 2015) Ad-hoc A large team-science project in psychology, which involved 270 
contributing authors, who replicated 100 effects.  
ManyLabs  (Ebersole et al., 2016; Klein et 
al., 2014, 2018, 2019)  Ad-hoc These projects involve dozens of researchers, each of whom collects 
data using their own local resources. The individual datasets are pooled 
to create a large common dataset.  
Many Smiles Collaboration  (Coles et 
al., 2019) Ad-hoc A collaborative project designed to find the best way to test the 
hypothesis that facial expressions influence emotions. The test was 
developed through consensus design. The resulting design uses multiple 
operationalizations and will be tested in a multi-site study. 
Research contests to reduce implicit 
race preferences  (Lai et al., 2014, 2016) Ad-hoc A series of contests to develop the most effective interventions to 
reduce implicit race preferences. Separate teams submitted 
interventions; all interventions were run together on a large online 
platform. 
Registered Replication Reports  (Simons 
et al., 2014) Standing An initiative to conduct multi-lab, preregistered close replications of 
previous studies. The initiative supervised by a hosting journal. 
Originally initiated at Perspectives at Psychological Science , other 
journals have adopted similar initiatives. Exact policies differ across 
journals. 
Collaborative Replication and 
Education Project  (Wagge, Baciu, et al., 
2019; Wagge, Brandt, et al., 2019) Standing A framework for engaging undergraduates in replication research. On 
consultation with student advisors, the CREP team selects target effects 
for replication. CREP develops a set of templates that guide the 
replication process and uses a team of reviewers to ensure that the 
methods for each individual lab are true to the template. 
Psychological Science Accelerator  
(Jones et al., 2021; Moshontz et al., 
2018) Standing A standing, democratically structured network of labs focused on 
improving the national diversity of psychology samples. 
ManyBabies  (Byers-Heinlein et al., 
2020) Standing A standing network that conducts multi-site infancy research. 
 
Table 2. Eight big team science initiatives in psychology.  
 
Big team science in psychology  
Psychology has also started to witness an increase in big team science projects. Although 
most of these projects are recent, they have already had an outsized impact on the field (see 
Table 2 for details). However, these efforts have revealed three categories of obstacles that must 
be overcome if big team science is to maintain a sustained presence in the research landscape. 
These obstacles are: incentivizing labor  within the collaboration; developing and maintaining 
infrastructure  to coordinate team science activities; and dealing with institutions  designed 
around research conducted by smaller teams. 
 
 ","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
"8 
 Barrier Description Solutions 
Incentives Academic prestige goes 
disproportionately to the first-listed 
author on publications Consortium authorship 
Contributorship systems, like CRediT 
Infrastructure Coordinating team science requires 
dedicated infrastructure Google Suite of tools for general online collaboration 
Open Science Framework for sharing materials & data 
Zoom and other videoconferencing for online meetings 
formr for online deployment of big team science projects 
experimentum  for building experiments and managing projects 
ScienceVerse  for documenting big team science projects 
Institutions Big team science must navigate 
frictions created by institutional 
policies developed around solo PIs None at present 
Table 3. Barriers to big team science and some potential solutions. 
 
Incentives . Due to the central importance of prestige in obtaining academic rewards, 
academics are incentivized to obtain publications that can be used to enhance their prestige. This 
means that any collective research enterprise that wishes to direct the labor of academic scientists 
must either rely on sporadic volunteerism, find some other reward, like money, that substitute for 
prestige, or find a way to dole out prestige. We describe the risks of relying on volunteerism and 
the barriers to providing money as a reward in the sections on institutional barriers and risks of 
financial unsustainability. Here we deal more completely with prestige as a form of 
compensation. 
A central problem with prestige as an incentive for participation in big team science is 
that, under the current system for awarding credit for publications, the bulk of credit goes to the 
first-listed author. This reward structure does not effectively incentivize the labor of the 
numerous other people who are necessary to produce big team science publications. Moreover, 
big team science organizations must do a tremendous amount of administration and coordination 
that, while critical to the success of the collaboration as a whole, is not easily creditable on 
publications.  
We see at least two innovations that may help resolve this problem. The first is 
consortium authorship , in which a publication is credited to a collective entity rather than a 
group of individuals, or in which all members of the collaboration are listed alphabetically on all 
publications to render the individual subservient to the collective (Birnholtz, 2008). This was the 
approach to credit taken by the Open Science Collaboration when they published the ","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
