,sentence,source
0,"b'.\ns\nr\ne\nh\ns\ni\nl\nb\nu\np\n\nd\ne\ni\nl\nl\na\n\ns\nt\ni\n\nf\no\n\ne\nn\no\n\nr\no\n\nn\no\ni\nt\na\ni\nc\no\ns\ns\nA\n\nl\na\nc\ni\ng\no\nl\no\nh\nc\ny\ns\nP\n\nn\na\nc\ni\nr\ne\nm\nA\ne\nh\nt\n\ny\nb\n\nd\ne\nt\nh\ng\ni\nr\ny\np\no\nc\n\ns\ni\n\nt\nn\ne\nm\nu\nc\no\nd\n\ns\ni\nh\nT\n\n.\n\nn\no\ni\nt\na\ni\nc\no\ns\ns\nA\n\nl\na\nc\ni\ng\no\nl\no\nh\nc\ny\ns\nP\n\nn\na\nc\ni\nr\ne\nm\nA\ne\nh\nt\n\nh\ng\nu\no\nr\nh\nt\n\no\ng\n\nt\ns\nu\nm\ne\nl\no\nh\nw\n\nr\no\n\nt\nr\na\np\n\nn\ni\n\nt\nn\ne\nt\nn\no\nc\n\ns\ni\nh\nt\n\ne\ns\nu\ne\nr\n\no\nt\n\ns\nt\ns\ne\nu\nq\ne\nr\n\ny\nn\na\n\nt\nu\nb\n\n,\nt\ns\no\nc\n\no\nn\n\nt\na\n\nd\ne\nr\na\nh\ns\n\ne\nb\n\ny\na\nm\n\nt\nn\ne\nt\nn\no\nC\n\n\xc2\xa9 2022 American Psychological Association\nISSN: 1064-1297\n\n2022, Vol.",ContentServer.asp.pdf
1,"30, No.",ContentServer.asp.pdf
2,"4, 379\xe2\x80\x93380\nhttps://doi.org/10.1037/pha0000582\n\nExperimental and Clinical Psychopharmacology\n\nINTRODUCTION\n\nCrowdsourcing Methods in Addiction Science:\n\nEmerging Research and Best Practices\n\nJustin C. Strickland1, Michael Amlung2, 3, and Derek D. Reed2, 3\n\n1 Department of Psychiatry and Behavioral Sciences, Johns Hopkins University School of Medicine\n\n2 Department of Applied Behavioral Science, University of Kansas\n\n3 Cofrin Logan Center for Addiction Research and Treatment, Lawrence, Kansas, United States\n\nCrowdsourcing platforms such as Amazon Mechanical Turk, Proli\xef\xac\x81c, and Qualtrics Panels have become a\ndominant form of sampling in recent years.",ContentServer.asp.pdf
3,"Crowdsourcing enables researchers to effectively and\nef\xef\xac\x81ciently sample research participants with greater geographic variability, access to hard-to-reach\npopulations, and reduced costs.",ContentServer.asp.pdf
4,These methods have been increasingly used across varied areas of\npsychological science and essential for research during the COVID-19 pandemic due to their facilitation\nof remote research.,ContentServer.asp.pdf
5,"Recent work documents methods for improving data quality, emerging crowdsourcing\nplatforms, and how crowdsourcing data \xef\xac\x81t within broader research programs.",ContentServer.asp.pdf
6,"Addiction scientists will bene\xef\xac\x81t\nfrom the adoption of best practice guidelines in crowdsourcing as well as developing novel approaches,\nvenues, and applications to advance the \xef\xac\x81eld.\n\nPublic Health Signi\xef\xac\x81cance\nThe following set of articles in this special issue describes best practice methods and novel applications\nof crowdsourcing in addiction and psychological science.",ContentServer.asp.pdf
7,"These articles advance the \xef\xac\x81eld and present\npractical guidelines and open-source resources for researchers using crowdsourcing in future work.\n\nKeywords: crowdsourcing, methods, mTurk, Proli\xef\xac\x81c, validity\n\nWith the changing landscape of work amidst the global COVID-19\npandemic and increasing costs associated with collecting data from\nlarge participant samples, researchers are turning to alternative meth-\nods for recruiting participants and collecting data.",ContentServer.asp.pdf
8,"Accordingly,\ncrowdsourcing platforms such as Amazon Mechanical Turk, Proli\xef\xac\x81c,\nand Qualtrics Panels have become a dominant form of sampling\nin recent years (Strickland & Stoops, 2019).",ContentServer.asp.pdf
9,"These crowdsourcing\nplatforms enable researchers to continue to collect data from large\nsamples of human participants when face-to-face visits are challeng-\ning, cost-prohibitive, or infeasible due to other barriers (e.g., research\nsites at logistically prohibitive distances; social distancing require-\nments during COVID-19).",ContentServer.asp.pdf
