,Unnamed: 0,sentence,source,topic_id,topic_probability
0,0,"b'.\ns\nr\ne\nh\ns\ni\nl\nb\nu\np\n\nd\ne\ni\nl\nl\na\n\ns\nt\ni\n\nf\no\n\ne\nn\no\n\nr\no\n\nn\no\ni\nt\na\ni\nc\no\ns\ns\nA\n\nl\na\nc\ni\ng\no\nl\no\nh\nc\ny\ns\nP\n\nn\na\nc\ni\nr\ne\nm\nA\ne\nh\nt\n\ny\nb\n\nd\ne\nt\nh\ng\ni\nr\ny\np\no\nc\n\ns\ni\n\nt\nn\ne\nm\nu\nc\no\nd\n\ns\ni\nh\nT\n\n.\n\nn\no\ni\nt\na\ni\nc\no\ns\ns\nA\n\nl\na\nc\ni\ng\no\nl\no\nh\nc\ny\ns\nP\n\nn\na\nc\ni\nr\ne\nm\nA\ne\nh\nt\n\nh\ng\nu\no\nr\nh\nt\n\no\ng\n\nt\ns\nu\nm\ne\nl\no\nh\nw\n\nr\no\n\nt\nr\na\np\n\nn\ni\n\nt\nn\ne\nt\nn\no\nc\n\ns\ni\nh\nt\n\ne\ns\nu\ne\nr\n\no\nt\n\ns\nt\ns\ne\nu\nq\ne\nr\n\ny\nn\na\n\nt\nu\nb\n\n,\nt\ns\no\nc\n\no\nn\n\nt\na\n\nd\ne\nr\na\nh\ns\n\ne\nb\n\ny\na\nm\n\nt\nn\ne\nt\nn\no\nC\n\n\xc2\xa9 2022 American Psychological Association\nISSN: 1064-1297\n\n2022, Vol.",ContentServer.asp.pdf,26,0.48383091476554707
1,1,"30, No.",ContentServer.asp.pdf,15,0.9300110630361814
2,2,"4, 379\xe2\x80\x93380\nhttps://doi.org/10.1037/pha0000582\n\nExperimental and Clinical Psychopharmacology\n\nINTRODUCTION\n\nCrowdsourcing Methods in Addiction Science:\n\nEmerging Research and Best Practices\n\nJustin C. Strickland1, Michael Amlung2, 3, and Derek D. Reed2, 3\n\n1 Department of Psychiatry and Behavioral Sciences, Johns Hopkins University School of Medicine\n\n2 Department of Applied Behavioral Science, University of Kansas\n\n3 Cofrin Logan Center for Addiction Research and Treatment, Lawrence, Kansas, United States\n\nCrowdsourcing platforms such as Amazon Mechanical Turk, Proli\xef\xac\x81c, and Qualtrics Panels have become a\ndominant form of sampling in recent years.",ContentServer.asp.pdf,46,1.0
3,3,"Crowdsourcing enables researchers to effectively and\nef\xef\xac\x81ciently sample research participants with greater geographic variability, access to hard-to-reach\npopulations, and reduced costs.",ContentServer.asp.pdf,17,1.0
4,4,These methods have been increasingly used across varied areas of\npsychological science and essential for research during the COVID-19 pandemic due to their facilitation\nof remote research.,ContentServer.asp.pdf,-1,0.0
5,5,"Recent work documents methods for improving data quality, emerging crowdsourcing\nplatforms, and how crowdsourcing data \xef\xac\x81t within broader research programs.",ContentServer.asp.pdf,17,0.7285744251089363
6,6,"Addiction scientists will bene\xef\xac\x81t\nfrom the adoption of best practice guidelines in crowdsourcing as well as developing novel approaches,\nvenues, and applications to advance the \xef\xac\x81eld.\n\nPublic Health Signi\xef\xac\x81cance\nThe following set of articles in this special issue describes best practice methods and novel applications\nof crowdsourcing in addiction and psychological science.",ContentServer.asp.pdf,46,0.8811030665067114
7,7,"These articles advance the \xef\xac\x81eld and present\npractical guidelines and open-source resources for researchers using crowdsourcing in future work.\n\nKeywords: crowdsourcing, methods, mTurk, Proli\xef\xac\x81c, validity\n\nWith the changing landscape of work amidst the global COVID-19\npandemic and increasing costs associated with collecting data from\nlarge participant samples, researchers are turning to alternative meth-\nods for recruiting participants and collecting data.",ContentServer.asp.pdf,-1,0.0
8,8,"Accordingly,\ncrowdsourcing platforms such as Amazon Mechanical Turk, Proli\xef\xac\x81c,\nand Qualtrics Panels have become a dominant form of sampling\nin recent years (Strickland & Stoops, 2019).",ContentServer.asp.pdf,17,0.7933976365728452
9,9,"These crowdsourcing\nplatforms enable researchers to continue to collect data from large\nsamples of human participants when face-to-face visits are challeng-\ning, cost-prohibitive, or infeasible due to other barriers (e.g., research\nsites at logistically prohibitive distances; social distancing require-\nments during COVID-19).",ContentServer.asp.pdf,17,0.6490859457755522
10,10,Alongside optimism about the practical\nbene\xef\xac\x81ts that crowdsourcing may provide are uncertainties about the\nvalidity of these approaches and how they can (and cannot) be used.\nThis special issue includes a collection of articles on best practices and\nemerging research using crowdsourcing for addictions research.\n\nArticles included in this special issue emphasize that data quality\nand control methods are critical in crowdsourcing platforms to\nensure data are reliable and valid.,ContentServer.asp.pdf,46,0.5929731011358986
11,11,Jones et al.,ContentServer.asp.pdf,63,0.7944013348263591
12,12,(2022) summarize\nthe importance of this work using a meta-analysis of careless\nresponding in crowdsourced alcohol use research and \xef\xac\x81nd that\napproximately 12% of participants are classi\xef\xac\x81ed as careless respon-\nders.,ContentServer.asp.pdf,46,1.0
13,13,"They also provide practical recommendations to address these\nissues to include the use of both overt and covert \xef\xac\x81delity measures.\nBelliveau and Yakovenko (2022) complement these \xef\xac\x81ndings by\nproviding a practical implementation guide with step-by-step in-\nstructions for screening for speeding, straight-lining (i.e., tendency\nto make the same response in a group of questions), inconsistent\nresponding, nonsensical responding, and missing data.",ContentServer.asp.pdf,11,0.9732169394977503
14,14,Open-source\ncode for conducting these procedures is provided for those looking\nto adopt these methods in their own work.,ContentServer.asp.pdf,-1,0.0
15,15,Conceptually related\nbehavioral economic research shows the practical implications of\n\nhttps://orcid.org/0000-0003-1077-0394\n\nJustin C. Strickland\nJustin C. Strickland\xe2\x80\x99s contribution was partially supported by National\nInstitute on Drug Abuse (NIDA; Grant R03DA054098).,ContentServer.asp.pdf,46,0.5698179290744549
16,16,Michael Amlung\xe2\x80\x99s\ncontribution was partially supported by National Institute on Alcohol Abuse\nand Alcoholism (NIAAA; Grant R01AA027255) and the Cofrin Logan Center\nfor Addiction Research and Treatment at the University of Kansas.,ContentServer.asp.pdf,46,0.7417362627996643
17,17,The authors\nhave no \xef\xac\x81nancial con\xef\xac\x82icts of interest in regard to this editorial introduction.\n\nJustin C. Strickland played lead role in writing of original draft and equal\nrole in conceptualization.,ContentServer.asp.pdf,1,0.5197337064940167
