,Topic,Count,Name,Representation,Representative_Docs
0,-1,1288,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'for', 'that', 'science', 'research', 'is']","['Four years in the\\nmaking, the project has been fully funded\\nby the generosity of one individual, Paul\\nAllen.\\n\\njust\\n\\nThe dif\\xef\\xac\\x81culties in operating such an\\nthose asso-\\nobservatory are not\\nciated with setting up any advanced\\ninstrumentation suite, but also include\\nsigni\\xef\\xac\\x81cant sociological and organizational\\nchallenges.\\n\\nWe all treasure a sense of autonomy.\\nYet inherent to any team, whether oper-\\nating on the battle \\xef\\xac\\x81eld, on the water rac-\\ning a scull, in a start-up, or at an institute\\nwith production deadlines, is the impera-\\ntive to align on the agreed-upon goals\\n\\n614 Neuron 92, November 2, 2016\\n\\nimplications for\\n\\nand the attendant need to submerge the\\nego, the self, to the group as a whole.\\nThese con\\xef\\xac\\x82icting demands have impor-\\ntant\\ninternal decision\\nmaking and highlight the absolute need\\nfor the development and maintenance of\\ntrust across the entire team.', 'In the \\ncontext of science, a big team science organization allows many scientists to pre-commit to \\ninvesting their limited scientific resources into one big project in exchange for an individual \\nreward \\xe2\\x80\\x93 usually, authorship on a publication, though other rewards are possible, such as money \\nor networking opportunities.', 'Regarding recommendations to funding agencies, the GRC provided the \\nfollowing:\\n\\n\\xe2\\x80\\xa2\\xe2\\x80\\xa2 Our research and much of the literature suggest that top-down thematic funding \\nprograms  are  one  of  the  most  common  approaches  adopted  by  funders  to \\nencourage interdisciplinarity.\\n\\n\\xe2\\x80\\xa2\\xe2\\x80\\xa2 There  is  also  a  consensus  that  researcher-led  \\xe2\\x80\\x9cbottom-up\\xe2\\x80\\x9d  approaches  are \\nrequired  and  funding  agencies  should  support  such  approaches  despite  the \\npotential risks associated with the most innovative ideas.\\n\\n\\x0cTurner and Baker \\n\\n83\\n\\n\\xe2\\x80\\xa2\\xe2\\x80\\xa2 At the same time, interdisciplinary research should be viewed as a means to an \\nend and not an end in itself.']"
1,0,133,0_was_the_laboratory_had,"['was', 'the', 'laboratory', 'had', 'of', 'at', 'breakthroughs', 'by', 'energy', 'laboratories']","['Bartlett with graduate students\\n probably would have been no match for Argonne with its professionals.\\n And indeed, this extraordinary elaboration of a field of chemistry in\\n just a year has led some to suggest that at least in the field of chemistry\\n the future belongs to the professional team supported with superb\\n equipment and unencumbered by teaching commitments, rather than to\\n the professor whose professionalism in research is diluted by teaching.13\\n This view has been sharply criticized by representatives of the univer\\n sity scientific community who insist that only individuals can achieve\\n breakthroughs.\\n\\n In point of fact, the team can and has achieved breakthroughs, and\\n it is by no means clear that the team will snuff out the fire of scientific\\n revolution.', ""A field that in earlier times would have remained fertile and excit\\n ing for a decade or more was largely elucidated in little more than a\\n year\\'s time.\\n\\n In attacking the xenon compounds so massively, the Argonne Na\\n tional Laboratory was working very much in the style of the applied\\n laboratory."", 'My own experi\\n ence has been almost entirely confined to the atomic energy laboratories,\\n and so I shall draw largely on them to illustrate some characteristics of\\n the big applied scientific institutions.\\n\\n From its very beginning in late 1941, the Chicago Metallurgical\\n Laboratory, at which the first fission chain reaction was established, was\\n interdisciplinary.']"
2,1,100,1_authorship_author_authors_contribution,"['authorship', 'author', 'authors', 'contribution', 'credit', 'articles', 'papers', 'contributions', 'and', 'number']","['Full counting provides \\ncredit to each author for an article\\xe2\\x80\\x99s citation, whereas fractional counting partitions \\nthe citation into a part per each author such that each author would receive one (cita-\\ntion) divided by the number of authors (n; 1/n).', 'Compre-\\nhensive shifts in incentives will require that hiring and \\ntenure and promotion committees rely more on specific \\nindicators of contribution (Brand et\\xc2\\xa0al., 2015), such as \\nthe  author  contribution  statements  described  above, \\nrather than heuristics of counting articles and whether \\nthe person was first, last, or somewhere in the middle \\nof an authorship list.', 'These efforts will benefit \\nHRD scholars and scholar-practitioners and could begin a new field of study within \\nHRD, TSci, and Cross-Disciplinary Research.\\n\\nDeclaration of Conflicting Interests\\nThe author(s) declared no potential conflicts of interest with respect to the research, authorship, \\nand/or publication of this article.\\n\\nFunding\\nThe author(s) received no financial support for the research, authorship, and/or publication of \\nthis article.\\n\\nReferences\\nAlbert, T., & Wager, E. (2003).']"
3,2,93,2_xe2_x80_x9d_x93,"['xe2', 'x80', 'x9d', 'x93', 'x99', 'x99s', 'xef', 'xac', 'to', 'and']","['For example,\\nwithin astronomy, generations of Sloan\\nDigital Sky surveys have resulted in more\\nthan 5,000 refereed publications and 200\\n\\nmillion SQL queries to the relevant data-\\nbase and revolutionized the \\xef\\xac\\x81eld in the\\nprocess (Burns et al., 2014).\\n\\nA second set of causes relate to lack of\\nstatistical \\xe2\\x80\\x98\\xe2\\x80\\x98hygiene,\\xe2\\x80\\x99\\xe2\\x80\\x99 including low statis-\\ntical power, incorrect noise models, pub-\\nlication bias (or \\xe2\\x80\\x98\\xe2\\x80\\x98the \\xef\\xac\\x81le drawer problem\\xe2\\x80\\x99\\xe2\\x80\\x99),\\nhypothesizing after the results are known\\n(HARKing), and p-hacking.', 'They perform collaborative endeav-\\nours similar to those of the Human Genome \\nProject and groups within CERN, Europe\\xe2\\x80\\x99s \\nparticle-physics lab near Geneva, Switzer-\\nland, but have been founded without formal \\nfunding  mechanisms  or  well-developed \\ninfrastructure.\\n\\nWe have found that grass-roots big-team \\nscience is capable of generating knowledge \\nthat is difficult to obtain \\xe2\\x80\\x94 but faces several \\nbarriers to sustainability.\\n\\nBarrier 1: rewarding team players\\nMichele Grigsby Coffey, a historian at the Uni-\\nversity of Memphis in Tennessee, has described \\nacademia as \\xe2\\x80\\x9ca selfish sport\\xe2\\x80\\x9d in which research-\\ners \\xe2\\x80\\x9care rewarded for self-absorbed fixations\\xe2\\x80\\x9d, \\nand in which \\xe2\\x80\\x9cprioritizing yourself at the \\nexpense of others is encouraged\\xe2\\x80\\x9d7.', '\\n\\nOSF represents one of the largest pre-registration portals available for developmental \\n\\n \\n\\n \\n\\n12 \\n\\n\\x0cresearchers: It is host to over 10,000 projects identified under search terms \\xe2\\x80\\x9cchild development,\\xe2\\x80\\x9d \\n\\n\\xe2\\x80\\x9ccognitive development,\\xe2\\x80\\x9d \\xe2\\x80\\x9cbrain development,\\xe2\\x80\\x9d and \\xe2\\x80\\x9csocio-emotional health.\\xe2\\x80\\x9d Figure 1 shows for \\n\\nexample that the number of registered studies through OSF when searching terms based on child \\n\\ndevelopment epochs \\xe2\\x80\\x9cinfant\\xe2\\x80\\x9d or \\xe2\\x80\\x9cadolescent\\xe2\\x80\\x9d has increased seven-fold from 2012 to 2021.']"
4,3,88,3_data_sharing_video_and,"['data', 'sharing', 'video', 'and', 'or', 'legal', 'gdpr', 'ndata', 'databrary', 'to']","['Based on GDPR categories and the authors\\xe2\\x80\\x99 ex-\\nperiences, the following categories of data always warrant \\nspecial attention to details and protection and will there-\\nfore be more complicated to handle: \\n\\n\\xe2\\x80\\xa2  Racial or ethnic origin \\n\\xe2\\x80\\xa2  Health or genetic data \\n\\xe2\\x80\\xa2  Financial data \\n\\xe2\\x80\\xa2  Philosophical, political, or religious beliefs \\n\\xe2\\x80\\xa2  Sexual orientation \\n\\xe2\\x80\\xa2  Trade union membership \\n\\xe2\\x80\\xa2  Educational data / IQ scores \\n\\xe2\\x80\\xa2  Data from underaged individuals, especially children \\n\\xe2\\x80\\xa2  Data from closed networks, where the combination of \\n\\nanswers may reveal identities \\n\\nStatistical Approach \\n \\n\\n \\n\\nIf you ask multiple data analysts what analysis to choose \\nfor  your  research  project,  chances  are  high  you  will  find \\nyourself with many different replies (Menkveld et al., 2021; \\nSilberzahn et al., 2018).', 'If personal \\nidentifiable  data  are  involved,  researchers  may  also  need \\nto set up Data Sharing Agreements between the consortium \\npartners (these regulate how the collected data are shared \\nbetween partners and processed), or even Data Privacy Im-\\npact Assessments (a process to identify and minimise data \\nprotection risks which is necessary when processing sensi-\\ntive data on a large scale).', 'Furthermore, initiatives like ManyBabies recognize that the combination of \\n\\nrich data and privacy concerns may lead to the need for more careful data sharing policies (e.g., \\n\\nsharing tabular data via an open channel like OSF and sharing raw video data through a more \\n\\nrestricted access channel such as Databrary).']"
5,4,80,4_lett_hum_can_,"['lett', 'hum', 'can', '', '', '', '', '', '', '']","['Can.', 'Hum.', 'Lett.']"
6,5,80,5_replication_findings_replicability_replicate,"['replication', 'findings', 'replicability', 'replicate', 'crep', 'replications', 'replicated', 'xc2', 'education', 'xa0al']","['(2014)\\n\\nInitiative to replicate spinal-cord-injury \\nresearch in independent laboratories\\n\\nstudies\\n\\n2 successful replications out of 12 targeted \\n\\nRegistered Replication Report: attempt by \\n\\nVerbal overshadowing successfully replicated, \\n\\nmany laboratories to replicate the verbal \\novershadowing effect\\n\\nbut with a smaller effect size than in the \\noriginal article\\n\\nKlein et\\xc2\\xa0al.', 'What is replication?', '(2016)\\n\\nMany Labs 3: 20 laboratories attempted to \\n\\n3 of 10 findings replicated; most unaffected by \\n\\nreplicate 13 psychology findings\\n\\nreplicate 97 original effects from top \\npsychology journals in independent \\nlaboratories\\n\\nExperimental Economics Replication Project: \\ninitiative to replicate prominent findings in \\nexperimental economics in independent \\nlaboratories\\n\\nreplicate 10 psychology findings at different \\ntimes of the semester\\n\\nRegistered Replication Report: attempt by \\n\\nmany laboratories to replicate the effects of \\npriming hostility on impression formation\\nReproducibility Project: Cancer Biology: an \\n\\ninitiative to replicate prominent findings in \\ncancer biology\\n\\nto replicate 21 social-science findings in \\nScience and Nature\\n\\nMany Labs 2: 28 psychology findings \\n\\nreplicated across 125 sites\\n\\nInitiative to replicate prominent findings in \\nexperimental philosophy in independent \\nlaboratories\\n\\nRegistered Replication Report: attempt by \\nmany laboratories to replicate the effect \\nof priming professors on intellectual \\nperformance\\n\\nCollaborative Replications and Education \\n\\nProject initiative to replicate social-\\npsychology findings in student methods \\nclasses\\n\\nDeciding future directions\\n\\nMcCarthy et\\xc2\\xa0al.']"
7,6,75,6_developmental_child_infant_development,"['developmental', 'child', 'infant', 'development', 'ndevelopmental', 'science', 'practices', 'open', 'children', 'research']","['\\n\\nThe State of Open Science in Developmental Science \\n\\nGiven the benefits of open science practices and many recent papers on the topic, where \\n\\ndoes the field of developmental science currently stand?', 'Open Science Practices of Selected Journals in Developmental Research.', 'Additional Js in the \\nfield of developmental science that accept registered reports include British J of Developmental \\nPsychology; Developmental Cognitive Neuroscience; Infant and Child Development; J of Child \\nPsychology; J of Child Language.']"
8,7,74,7_doi_org_10_https,"['doi', 'org', '10', 'https', 'nhttps', '1177', '1111', '1038', '1016', 'nlakens']","['\\n\\nhttps://doi.org/10.1037/xge0000179 \\n\\nLakens, D. (2014).', 'https://doi.org/10.2139/ssrn.437684 \\n\\nhttps://doi.org/10.1001/jama.2009.1578 \\n\\nSchneider, C. (2015).', 'https://doi.org/10.1177/2515245917747646 \\n\\nSimonsohn, U.']"
9,8,74,8_big_team_science_organizations,"['big', 'team', 'science', 'organizations', 'that', 'risks', 'is', 'the', 'teams', 'we']","['The Benefits, Barriers, and Risks \\nof Big Team Science.', '\\n\\nRisks of big team science \\n\\nAlthough we believe that big team science approaches have great promise, they also \\n\\n \\nbring a unique set of risks that stem from the very feature that provides their main benefits: the \\nfact that they coordinate and centralize resources to be deployed in a single project (Stokols et \\nal., 2008).', 'Big team science organizations also have the potential to provide \\na variety of benefits to individual researchers and the broader scientific ecosystem that are \\nexternal to this primary function.']"
10,9,72,9_xa6_nj_brown_aczel,"['xa6', 'nj', 'brown', 'aczel', 'evans', 'chartier', 'mccarthy', 'musser', 'janssen', 'keene']","['J., Keene, J. R., Protzko, J., Aczel, B., \\xe2\\x80\\xa6 Chartier, C. \\nR.', '\\n\\nE., McCarthy, R. J., Musser, E. D., Antfolk, J., Castille, C. M., Evans, T. R., Fiedler, S., \\n\\nFlake, J. K., Forero, D. A., Janssen, S. M. J., Keene, J. R., Protzko, J., Aczel, B., \\xe2\\x80\\xa6 \\n\\nChartier, C. R. (2018).', '\\n\\nE., McCarthy, R. J., Musser, E. D., Antfolk, J., Castille, C. M., Evans, T. R., Fiedler, S., \\n\\nFlake, J. K., Forero, D. A., Janssen, S. M. J., Keene, J. R., Protzko, J., Aczel, B., \\xe2\\x80\\xa6 \\n\\nChartier, C. R. (2018).']"
11,10,57,10_researchers_research_study_resources,"['researchers', 'research', 'study', 'resources', 'local', 'costs', 'and', 'to', 'ncollaborators', 'or']","['\\n\\nWithin the PSA, several labs or PIs submit a study pro-\\nposal, the study selection committee checks its feasibility, \\nthe  network  votes  on  the  blinded  proposal,  then  the  lead \\nteam of the accepted studies pre-registers the experiment, \\nand publicly opens it up for potential collaborators.', 'Researchers can then either adapt the \\nreplication to better suit their target populations or, with \\nthe help of local collaborators, find ways to convey or aug-\\nment the value and benefits (direct or indirect) of the re-\\nsearch to potential participants.', '\\n\\nSurvey-based online \\nresearch; PI \\nprovides access to \\nsurvey; funds are \\navailable to offset \\ndata collection \\ncosts and \\nparticipant \\nincentives \\n\\nCollaborators \\nfrom \\nunderrepresented \\ngroups \\n\\nValue for \\nparticipants and \\ncollaborators \\n\\nExisting network is explored for \\ntrusted colleagues from as many \\ncountries as possible; the more \\nthe network grows, the more \\ngrows the outreach and \\ncolleagues from more countries \\ncan be included (First study: 32 \\ncollaborators and data from 19 \\ncountries; latest: 169 authors \\nfrom 61 countries included) \\n\\nParticipants: Surveys are short \\n(5 minutes or less), minimal time \\ninvestment \\xe2\\x80\\x93 results are often \\nshared via the same channels \\nparticipants were recruited; \\nCollaborators: Access to \\nnetwork of collaborators (option \\nof further connection), \\nopportunity to re-use data for \\nadditional research (e.g.']"
